episode,win_rate,turns
1,1.0,44
2,1.0,80
3,1.0,43
4,1.0,48
5,0.8,15
6,0.6666666666666666,16
7,0.7142857142857143,24
8,0.625,75
9,0.5555555555555556,23
10,0.5,30
11,0.45454545454545453,49
12,0.4166666666666667,59
13,0.46153846153846156,63
14,0.42857142857142855,55
15,0.4666666666666667,27
16,0.4375,42
17,0.4117647058823529,45
18,0.4444444444444444,50
19,0.42105263157894735,89
20,0.4,46
21,0.42857142857142855,16
22,0.45454545454545453,83
23,0.4782608695652174,21
24,0.4583333333333333,19
25,0.44,65
26,0.46153846153846156,40
27,0.48148148148148145,87
28,0.4642857142857143,34
29,0.4827586206896552,19
30,0.4666666666666667,14
31,0.45161290322580644,28
32,0.4375,29
33,0.45454545454545453,18
34,0.4411764705882353,82
35,0.45714285714285713,37
36,0.4722222222222222,142
37,0.4864864864864865,13
38,0.5,80
39,0.5128205128205128,170
40,0.5,14
41,0.5121951219512195,24
42,0.5,42
43,0.5116279069767442,86
44,0.5,120
45,0.5111111111111111,80
46,0.5217391304347826,139
47,0.5319148936170213,23
48,0.5208333333333334,19
49,0.5306122448979592,93
50,0.54,31
51,0.5490196078431373,40
52,0.5576923076923077,21
53,0.5660377358490566,14
54,0.5555555555555556,21
55,0.5636363636363636,104
56,0.5714285714285714,22
57,0.5789473684210527,19
58,0.5862068965517241,15
59,0.576271186440678,48
60,0.5666666666666667,113
61,0.5737704918032787,77
62,0.5806451612903226,24
63,0.5873015873015873,40
64,0.578125,128
65,0.5692307692307692,59
66,0.5757575757575758,96
67,0.582089552238806,40
68,0.5882352941176471,46
69,0.5797101449275363,144
70,0.5857142857142857,36
71,0.5774647887323944,128
72,0.5694444444444444,59
73,0.5753424657534246,26
74,0.5675675675675675,14
75,0.5733333333333334,24
76,0.5789473684210527,39
77,0.5714285714285714,67
78,0.5641025641025641,89
79,0.5569620253164557,93
80,0.5625,16
81,0.5555555555555556,88
82,0.5609756097560976,13
83,0.5542168674698795,60
84,0.5476190476190477,52
85,0.5529411764705883,47
86,0.5581395348837209,58
87,0.5632183908045977,24
88,0.5681818181818182,19
89,0.5730337078651685,44
90,0.5666666666666667,25
91,0.5714285714285714,50
92,0.5760869565217391,27
93,0.5698924731182796,13
94,0.5638297872340425,32
95,0.5684210526315789,38
96,0.5625,42
97,0.5567010309278351,98
98,0.5612244897959183,60
99,0.5656565656565656,68
100,0.57,121
101,0.57,122
102,0.57,71
103,0.57,25
104,0.56,49
105,0.57,16
106,0.57,73
107,0.56,39
108,0.56,33
109,0.56,34
110,0.57,87
111,0.57,24
112,0.58,20
113,0.57,21
114,0.58,33
115,0.58,78
116,0.59,55
117,0.6,51
118,0.6,40
119,0.6,72
120,0.61,57
121,0.6,98
122,0.6,97
123,0.6,16
124,0.6,29
125,0.61,27
126,0.6,92
127,0.59,131
128,0.6,24
129,0.59,83
130,0.59,124
131,0.59,66
132,0.59,58
133,0.59,46
134,0.59,177
135,0.58,34
136,0.58,71
137,0.57,57
138,0.57,108
139,0.56,43
140,0.57,28
141,0.57,25
142,0.57,12
143,0.57,126
144,0.58,68
145,0.57,33
146,0.56,120
147,0.56,28
148,0.57,17
149,0.56,36
150,0.56,53
151,0.56,74
152,0.55,121
153,0.54,58
154,0.54,19
155,0.54,20
156,0.53,84
157,0.53,89
158,0.53,15
159,0.54,78
160,0.54,38
161,0.54,40
162,0.53,73
163,0.53,25
164,0.54,33
165,0.54,44
166,0.53,32
167,0.52,17
168,0.52,48
169,0.52,60
170,0.51,66
171,0.51,23
172,0.51,89
173,0.5,44
174,0.51,29
175,0.5,20
176,0.49,32
177,0.5,64
178,0.51,82
179,0.51,53
180,0.5,13
181,0.5,98
182,0.49,24
183,0.5,162
184,0.51,100
185,0.51,70
186,0.51,15
187,0.5,243
188,0.49,57
189,0.49,36
190,0.49,33
191,0.49,83
192,0.48,45
193,0.49,10
194,0.49,45
195,0.48,44
196,0.48,96
197,0.49,29
198,0.49,30
199,0.48,92
200,0.47,42
