episode,win_rate,turns
1,1.0,80
2,1.0,14
3,0.6666666666666666,188
4,0.5,29
5,0.6,40
6,0.6666666666666666,47
7,0.5714285714285714,104
8,0.625,36
9,0.6666666666666666,20
10,0.7,84
11,0.6363636363636364,29
12,0.6666666666666666,76
13,0.6153846153846154,28
14,0.5714285714285714,34
15,0.5333333333333333,124
16,0.5,34
17,0.47058823529411764,57
18,0.4444444444444444,26
19,0.42105263157894735,23
20,0.45,72
21,0.47619047619047616,97
22,0.45454545454545453,97
23,0.4782608695652174,52
24,0.5,17
25,0.52,33
26,0.5384615384615384,25
27,0.5185185185185185,54
28,0.5,17
29,0.5172413793103449,55
30,0.5333333333333333,126
31,0.5483870967741935,46
32,0.5625,41
33,0.5757575757575758,18
34,0.5882352941176471,38
35,0.5714285714285714,14
36,0.5833333333333334,76
37,0.5945945945945946,39
38,0.5789473684210527,36
39,0.5897435897435898,74
40,0.6,26
41,0.6097560975609756,173
42,0.6190476190476191,34
43,0.6046511627906976,73
44,0.5909090909090909,45
45,0.5777777777777777,61
46,0.5869565217391305,13
47,0.574468085106383,66
48,0.5625,22
49,0.5510204081632653,16
50,0.54,51
51,0.5490196078431373,14
52,0.5576923076923077,38
53,0.5471698113207547,47
54,0.5370370370370371,51
55,0.5454545454545454,78
56,0.5535714285714286,59
57,0.543859649122807,195
58,0.5517241379310345,34
59,0.5423728813559322,93
60,0.55,121
61,0.5573770491803278,86
62,0.5645161290322581,29
63,0.5555555555555556,40
64,0.5625,112
65,0.5538461538461539,28
66,0.5606060606060606,28
67,0.5671641791044776,15
68,0.5588235294117647,57
69,0.5652173913043478,16
70,0.5571428571428572,41
71,0.5492957746478874,46
72,0.5416666666666666,18
73,0.547945205479452,36
74,0.5540540540540541,58
75,0.56,66
76,0.5526315789473685,65
77,0.5454545454545454,38
78,0.5384615384615384,33
79,0.5316455696202531,42
80,0.5375,60
81,0.5308641975308642,45
82,0.524390243902439,145
83,0.5180722891566265,18
84,0.5238095238095238,19
85,0.5176470588235295,27
86,0.5116279069767442,29
87,0.5172413793103449,132
88,0.5113636363636364,47
89,0.5056179775280899,41
90,0.5,49
91,0.5054945054945055,37
92,0.5108695652173914,83
93,0.5053763440860215,23
94,0.5106382978723404,15
95,0.5157894736842106,104
96,0.5104166666666666,20
97,0.5051546391752577,27
98,0.5,72
99,0.494949494949495,16
100,0.5,58
101,0.5,26
102,0.5,28
103,0.51,26
104,0.52,41
105,0.51,19
106,0.51,35
107,0.51,19
108,0.51,61
109,0.51,23
110,0.5,39
111,0.5,20
112,0.49,94
113,0.5,90
114,0.51,40
115,0.52,33
116,0.52,89
117,0.52,111
118,0.53,51
119,0.54,29
120,0.53,13
121,0.53,41
122,0.54,29
123,0.53,72
124,0.52,44
125,0.52,93
126,0.52,19
127,0.53,17
128,0.54,55
129,0.53,40
130,0.52,27
131,0.52,31
132,0.51,26
133,0.5,113
134,0.5,153
135,0.5,87
136,0.49,105
137,0.49,40
138,0.5,18
139,0.49,27
140,0.49,27
141,0.49,16
142,0.49,44
143,0.49,74
144,0.5,78
145,0.51,56
146,0.5,49
147,0.51,45
148,0.51,31
149,0.51,31
150,0.52,39
151,0.51,83
152,0.5,36
153,0.51,55
154,0.51,146
155,0.51,23
156,0.5,29
157,0.51,39
158,0.5,28
159,0.51,58
160,0.51,13
161,0.51,42
162,0.51,78
163,0.52,197
164,0.52,142
165,0.53,52
166,0.53,32
167,0.52,56
168,0.52,26
169,0.51,32
170,0.52,110
171,0.53,20
172,0.53,119
173,0.52,99
174,0.52,21
175,0.52,15
176,0.52,38
177,0.53,27
178,0.53,19
179,0.54,12
180,0.54,165
181,0.55,37
182,0.56,76
183,0.56,64
184,0.56,23
185,0.57,57
186,0.58,16
187,0.58,91
188,0.59,26
189,0.6,28
190,0.61,87
191,0.6,36
192,0.59,74
193,0.6,85
194,0.6,73
195,0.6,96
196,0.61,53
197,0.62,18
198,0.63,70
199,0.63,34
200,0.62,68
