wins,losses,win_rate,avg_reward,std_reward,avg_episode_length,avg_cards_remaining_win,avg_cards_remaining_loss,model_name,algorithm,model_path
28,22,56.00000000000001,50.87,76.24332167475391,26.04,3.357142857142857,4.0,PPO Best Config,PPO,models\sb3_ppo_best_config.zip
28,22,56.00000000000001,49.416000000000004,77.06185920414846,24.76,3.357142857142857,3.727272727272727,Optimal Recurrent PPO,RECURRENTPPO,models\optimal_recurrent_ppo.zip
27,23,54.0,41.532,85.22458434043548,44.16,3.6666666666666665,3.4782608695652173,Best Model,PPO,models\best_model.zip
26,24,52.0,42.95399999999999,75.80189235104885,24.0,4.3076923076923075,4.583333333333333,Best Recurrent PPO,RECURRENTPPO,models\best_recurrent_ppo_uno.zip
25,25,50.0,37.506,79.8859897854436,32.58,3.48,4.72,A2C,A2C,models\sb3_a2c_uno.zip
25,25,50.0,39.373999999999995,77.11528722633405,21.64,3.44,4.32,Self-Play Champion,RECURRENTPPO,models\selfplay_champion.zip
25,25,50.0,38.702,79.47500107581001,34.34,3.48,3.72,DQN,DQN,models\sb3_dqn_uno.zip
25,25,50.0,66.7,149.94897398782027,46.36,,,Enhanced RPPO,ENHANCED_RPPO,models\enhanced_rppo.zip
24,26,48.0,35.854,78.78768738832228,35.62,4.541666666666667,3.923076923076923,SB3 Recurrent PPO,RECURRENTPPO,models\sb3_recurrentppo_uno.zip
23,27,46.0,34.85,75.38728075743282,24.52,3.608695652173913,4.592592592592593,Best PPO,PPO,models\best_ppo_uno.zip
22,28,44.0,31.381999999999998,76.20249783307631,26.24,4.363636363636363,4.714285714285714,PPO,PPO,models\sb3_ppo_uno.zip
21,29,42.0,48.72600000000001,144.69568039164128,49.0,,,Best Enhanced RPPO,ENHANCED_RPPO,models\best_enhanced_rppo/best_model.zip
20,30,40.0,24.128,80.96897687386199,36.22,3.7,4.5,Recurrent PPO,RECURRENTPPO,models\recurrent_ppo_uno.zip
16,34,32.0,11.071999999999997,78.03659408252004,34.06,4.75,4.176470588235294,Best Optimal RPPO,RECURRENTPPO,models\best_optimal_rppo/best_model.zip
